stock,date,close,ma20,rsi,macd
600036.SH,72,52.8,44.0,82.0,0.05
600036.SH,119,49.32,41.1,82.0,0.05
000001.SZ,103,14.28,11.9,82.0,0.05
600276.SH,187,73.94399999999999,61.62,82.0,0.05
300015.SZ,216,13.116,10.93,82.0,0.05
600887.SH,53,33.576,27.98,82.0,0.05
000725.SZ,213,5.255999999999999,4.38,82.0,0.05
000002.SZ,206,5.819999999999999,4.85,82.0,0.05
601318.SH,211,79.68,66.4,82.0,0.05
603259.SH,130,125.51999999999998,104.6,82.0,0.05
000858.SZ,56,138.42,115.35,82.0,0.05
600887.SH,64,32.784,27.32,82.0,0.05
000002.SZ,222,5.771999999999999,4.81,82.0,0.05
601318.SH,34,60.443999999999996,50.37,82.0,0.05
300059.SZ,74,27.947999999999997,23.29,82.0,0.05
688981.SH,123,145.38,121.15,82.0,0.05
000333.SZ,196,93.94800000000001,78.29,82.0,0.05
000001.SZ,196,13.68,11.4,82.0,0.05
300059.SZ,126,32.004,26.67,82.0,0.05
603259.SH,95,112.5,93.75,82.0,0.05
600887.SH,174,34.284,28.57,82.0,0.05
600036.SH,88,52.236,43.53,82.0,0.05
300750.SZ,89,327.59999999999997,273.0,82.0,0.05
002415.SZ,125,37.007999999999996,30.84,82.0,0.05
600036.SH,120,49.199999999999996,41.0,82.0,0.05
000063.SZ,172,48.768,40.64,82.0,0.05
000063.SZ,141,58.32,48.6,82.0,0.05
600900.SH,116,33.18,27.65,82.0,0.05
000725.SZ,202,5.34,4.45,82.0,0.05
601888.SH,198,111.072,92.56,82.0,0.05
