stock,date,close,ma20,rsi,macd
000001.SZ,196,11.07,11.4,31.0,-0.1137
000001.SZ,61,12.51,11.75,78.2,0.332
000001.SZ,39,11.08,10.86,65.0,0.1664
000001.SZ,222,10.76,10.91,36.9,-0.0979
000001.SZ,103,11.5,11.9,36.1,-0.1052
000001.SZ,95,11.81,12.02,40.4,-0.0744
000002.SZ,90,6.53,6.57,49.8,-0.0345
000002.SZ,68,6.56,6.48,50.4,0.0208
000002.SZ,221,4.72,4.82,44.8,-0.0511
000002.SZ,59,6.46,6.45,47.0,-0.0669
000002.SZ,206,4.88,4.85,49.8,-0.0334
000002.SZ,222,4.65,4.81,42.0,-0.0573
000063.SZ,172,36.96,40.64,37.0,-1.4496
000063.SZ,55,32.39,31.73,58.2,0.0439
000063.SZ,184,39.27,38.21,51.2,-0.8148
000063.SZ,141,41.73,48.6,38.9,-0.438
000063.SZ,41,32.44,31.89,58.3,0.043
000063.SZ,40,32.31,31.9,57.0,-0.0158
000858.SZ,56,113.25,115.35,35.7,-2.1117
000858.SZ,88,120.38,120.35,54.9,0.5684
000858.SZ,92,121.57,120.33,59.9,0.626
000858.SZ,162,112.96,116.16,29.5,-0.93
000858.SZ,187,107.14,108.96,36.4,-1.5933
000858.SZ,39,119.08,122.95,35.0,-1.2979
300015.SZ,176,11.05,11.2,39.4,-0.1844
300015.SZ,83,12.73,12.66,53.6,0.1421
300015.SZ,216,10.6,10.93,41.6,-0.1849
300015.SZ,199,11.12,11.29,43.2,-0.0136
300015.SZ,212,10.33,11.06,33.7,-0.1817
300015.SZ,172,11.16,11.29,40.9,-0.2529
300750.SZ,140,386.86,382.19,57.4,11.1458
300750.SZ,89,278.89,273.0,61.0,1.1373
300750.SZ,147,386.38,383.24,54.6,7.2325
300750.SZ,183,377.5,379.1,50.2,-2.7538
300750.SZ,104,304.03,284.23,64.7,9.1102
300750.SZ,240,401.17,397.19,56.5,10.5041
601318.SH,34,50.93,50.37,61.9,0.8213
601318.SH,227,60.48,63.66,34.1,-1.3737
601318.SH,239,58.18,59.88,40.0,-1.9065
601318.SH,73,57.05,55.65,68.2,0.9721
601318.SH,211,66.54,66.4,48.5,0.1757
601318.SH,141,58.94,56.91,63.9,0.7103
600036.SH,120,39.77,41.0,34.6,-0.6715
600036.SH,104,41.96,42.3,44.7,-0.3889
600036.SH,72,43.81,44.0,53.4,0.3819
600036.SH,88,42.44,43.53,36.6,-0.1129
600036.SH,228,40.12,39.16,62.1,0.1688
600036.SH,119,39.79,41.1,34.7,-0.6566
600519.SH,59,1391.93,1392.72,40.6,-21.5778
600519.SH,56,1385.95,1403.31,36.4,-26.2599
600519.SH,130,1433.56,1433.75,49.6,-3.5136
600519.SH,57,1381.61,1399.63,35.2,-25.0903
600519.SH,124,1406.09,1449.51,38.6,-8.6869
600519.SH,249,1462.84,1441.5,55.7,6.9712
600276.SH,121,69.2,70.23,52.2,1.3943
600276.SH,187,63.78,61.62,59.7,0.3219
600276.SH,100,66.23,62.94,64.4,1.5701
600276.SH,239,57.73,55.15,56.7,-0.4114
600276.SH,44,55.82,54.4,63.6,0.9568
600276.SH,219,52.98,57.09,24.4,-1.4547
600887.SH,150,28.09,27.18,65.6,0.2331
600887.SH,170,28.35,28.58,52.9,0.1109
600887.SH,64,27.2,27.32,42.7,-0.2191
600887.SH,129,26.89,27.17,43.6,-0.0898
600887.SH,53,27.31,27.98,39.2,-0.2587
600887.SH,174,29.18,28.57,66.5,0.2154
002415.SZ,108,29.82,29.98,53.0,0.252
002415.SZ,245,31.71,30.89,58.3,-0.1335
002415.SZ,193,31.01,30.18,57.6,0.3152
002415.SZ,191,31.29,29.98,61.2,0.2985
002415.SZ,125,33.36,30.84,69.9,0.8335
002415.SZ,180,29.6,29.62,46.3,-0.319
000725.SZ,82,4.04,4.05,52.0,0.0252
000725.SZ,213,4.28,4.38,46.5,-0.0198
000725.SZ,50,3.88,3.84,56.2,0.0208
000725.SZ,44,3.88,3.83,58.0,0.0228
000725.SZ,202,4.37,4.45,49.8,0.0699
000725.SZ,91,3.95,4.04,43.1,-0.0138
002594.SZ,230,102.31,96.13,63.8,2.5835
002594.SZ,107,105.49,108.53,44.3,-0.4726
002594.SZ,53,115.06,115.67,46.7,-1.9524
002594.SZ,92,107.63,107.38,49.9,-0.8247
002594.SZ,58,108.93,113.58,36.0,-2.5661
002594.SZ,130,104.52,107.56,42.1,-0.6505
300059.SZ,104,26.21,26.64,49.9,0.901
300059.SZ,149,24.54,25.4,39.9,-0.3201
300059.SZ,195,23.31,23.86,44.6,0.0405
300059.SZ,246,20.01,19.72,49.2,-0.5941
300059.SZ,126,25.16,26.67,40.7,-0.1335
300059.SZ,74,24.32,23.29,67.7,0.503
688981.SH,127,129.56,124.85,56.5,6.9622
688981.SH,123,138.91,121.15,74.6,9.3532
688981.SH,86,86.96,89.63,43.7,0.4296
688981.SH,204,116.03,124.78,39.8,-0.5884
688981.SH,101,114.76,96.34,72.5,6.2223
688981.SH,212,116.93,119.92,45.4,-2.1275
601888.SH,207,92.35,91.94,53.8,0.7959
601888.SH,198,92.66,92.56,54.6,2.1761
601888.SH,51,59.52,59.84,44.7,-0.2859
601888.SH,188,95.4,87.86,63.0,3.5896
601888.SH,195,95.09,91.68,59.4,2.5651
601888.SH,76,66.16,62.68,60.7,1.6962
603259.SH,169,94.05,92.25,51.4,-1.0926
603259.SH,219,92.02,97.71,36.1,-0.4483
603259.SH,95,93.7,93.75,58.5,3.1606
603259.SH,74,86.72,75.39,84.3,4.908
603259.SH,151,92.32,97.53,40.9,-2.3705
603259.SH,130,98.89,104.6,45.5,-0.8276
000333.SZ,102,75.68,72.2,70.8,0.6285
000333.SZ,196,77.49,78.29,44.8,-0.3741
000333.SZ,209,80.19,77.93,59.1,0.3429
000333.SZ,175,79.16,80.3,48.9,0.523
000333.SZ,89,71.87,71.52,53.1,-0.1554
000333.SZ,208,79.16,77.73,54.6,0.2266
600900.SH,116,26.91,27.65,30.2,-0.2214
600900.SH,248,26.55,26.87,43.5,-0.1258
600900.SH,229,27.29,26.8,61.2,0.276
600900.SH,231,27.18,26.9,57.6,0.2439
600900.SH,47,29.7,29.37,62.2,0.167
600900.SH,91,27.42,27.99,29.8,-0.4319
